sequence_id,status,subject_id,seq_name,num_frames,object_id,extri_path,sensor_data_dir,label_dir
p003__CosmeticPumpBottle_g3__T02,ok,p003,p003/CosmeticPumpBottle_g3/T02,130,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__CosmeticPumpBottle_g3__T02,subjects/p003/labels/p003__CosmeticPumpBottle_g3__T02
p003__CosmeticPumpBottle_g3__T03,ok,p003,p003/CosmeticPumpBottle_g3/T03,121,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__CosmeticPumpBottle_g3__T03,subjects/p003/labels/p003__CosmeticPumpBottle_g3__T03
p003__CosmeticPumpBottle_g5__T01,ok,p003,p003/CosmeticPumpBottle_g5/T01,136,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__CosmeticPumpBottle_g5__T01,subjects/p003/labels/p003__CosmeticPumpBottle_g5__T01
p003__CosmeticPumpBottle_g5__T02,ok,p003,p003/CosmeticPumpBottle_g5/T02,116,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__CosmeticPumpBottle_g5__T02,subjects/p003/labels/p003__CosmeticPumpBottle_g5__T02
p003__CosmeticPumpBottle_g5__T03,ok,p003,p003/CosmeticPumpBottle_g5/T03,199,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__CosmeticPumpBottle_g5__T03,subjects/p003/labels/p003__CosmeticPumpBottle_g5__T03
p003__cup_g2__T01,ok,p003,p003/cup_g2/T01,173,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g2__T01,subjects/p003/labels/p003__cup_g2__T01
p003__cup_g2__T02,ok,p003,p003/cup_g2/T02,142,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g2__T02,subjects/p003/labels/p003__cup_g2__T02
p003__cup_g2__T03,ok,p003,p003/cup_g2/T03,106,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g2__T03,subjects/p003/labels/p003__cup_g2__T03
p003__cup_g3__T01,ok,p003,p003/cup_g3/T01,166,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g3__T01,subjects/p003/labels/p003__cup_g3__T01
p003__cup_g3__T02,ok,p003,p003/cup_g3/T02,137,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g3__T02,subjects/p003/labels/p003__cup_g3__T02
p003__cup_g3__T03,ok,p003,p003/cup_g3/T03,145,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g3__T03,subjects/p003/labels/p003__cup_g3__T03
p003__cup_g5__T01,ok,p003,p003/cup_g5/T01,133,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g5__T01,subjects/p003/labels/p003__cup_g5__T01
p003__cup_g5__T02,ok,p003,p003/cup_g5/T02,144,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g5__T02,subjects/p003/labels/p003__cup_g5__T02
p003__cup_g5__T03,ok,p003,p003/cup_g5/T03,135,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cup_g5__T03,subjects/p003/labels/p003__cup_g5__T03
p003__cutter_g2__T01,ok,p003,p003/cutter_g2/T01,155,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g2__T01,subjects/p003/labels/p003__cutter_g2__T01
p003__cutter_g2__T02,ok,p003,p003/cutter_g2/T02,126,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g2__T02,subjects/p003/labels/p003__cutter_g2__T02
p003__cutter_g2__T03,ok,p003,p003/cutter_g2/T03,133,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g2__T03,subjects/p003/labels/p003__cutter_g2__T03
p003__cutter_g3__T01,ok,p003,p003/cutter_g3/T01,151,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g3__T01,subjects/p003/labels/p003__cutter_g3__T01
p003__cutter_g3__T02,ok,p003,p003/cutter_g3/T02,138,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g3__T02,subjects/p003/labels/p003__cutter_g3__T02
p003__cutter_g3__T03,ok,p003,p003/cutter_g3/T03,128,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g3__T03,subjects/p003/labels/p003__cutter_g3__T03
p003__cutter_g5__T01,ok,p003,p003/cutter_g5/T01,130,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g5__T01,subjects/p003/labels/p003__cutter_g5__T01
p003__cutter_g5__T02,ok,p003,p003/cutter_g5/T02,124,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g5__T02,subjects/p003/labels/p003__cutter_g5__T02
p003__cutter_g5__T03,ok,p003,p003/cutter_g5/T03,134,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__cutter_g5__T03,subjects/p003/labels/p003__cutter_g5__T03
p003__HandCream_g2__T01,ok,p003,p003/HandCream_g2/T01,153,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g2__T01,subjects/p003/labels/p003__HandCream_g2__T01
p003__HandCream_g2__T02,ok,p003,p003/HandCream_g2/T02,129,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g2__T02,subjects/p003/labels/p003__HandCream_g2__T02
p003__HandCream_g2__T03,ok,p003,p003/HandCream_g2/T03,144,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g2__T03,subjects/p003/labels/p003__HandCream_g2__T03
p003__HandCream_g3__T01,ok,p003,p003/HandCream_g3/T01,146,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g3__T01,subjects/p003/labels/p003__HandCream_g3__T01
p003__HandCream_g3__T02,ok,p003,p003/HandCream_g3/T02,126,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g3__T02,subjects/p003/labels/p003__HandCream_g3__T02
p003__HandCream_g3__T03,ok,p003,p003/HandCream_g3/T03,128,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g3__T03,subjects/p003/labels/p003__HandCream_g3__T03
p003__HandCream_g5__T01,ok,p003,p003/HandCream_g5/T01,139,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g5__T01,subjects/p003/labels/p003__HandCream_g5__T01
p003__HandCream_g5__T02,ok,p003,p003/HandCream_g5/T02,143,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g5__T02,subjects/p003/labels/p003__HandCream_g5__T02
p003__HandCream_g5__T03,ok,p003,p003/HandCream_g5/T03,130,HandCream,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__HandCream_g5__T03,subjects/p003/labels/p003__HandCream_g5__T03
p003__Hotmeltgluegun_g2__T01,ok,p003,p003/Hotmeltgluegun_g2/T01,187,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g2__T01,subjects/p003/labels/p003__Hotmeltgluegun_g2__T01
p003__Hotmeltgluegun_g2__T02,ok,p003,p003/Hotmeltgluegun_g2/T02,116,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g2__T02,subjects/p003/labels/p003__Hotmeltgluegun_g2__T02
p003__Hotmeltgluegun_g2__T03,ok,p003,p003/Hotmeltgluegun_g2/T03,157,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g2__T03,subjects/p003/labels/p003__Hotmeltgluegun_g2__T03
p003__Hotmeltgluegun_g3__T01,ok,p003,p003/Hotmeltgluegun_g3/T01,129,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g3__T01,subjects/p003/labels/p003__Hotmeltgluegun_g3__T01
p003__Hotmeltgluegun_g3__T02,ok,p003,p003/Hotmeltgluegun_g3/T02,130,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g3__T02,subjects/p003/labels/p003__Hotmeltgluegun_g3__T02
p003__Hotmeltgluegun_g3__T03,ok,p003,p003/Hotmeltgluegun_g3/T03,128,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g3__T03,subjects/p003/labels/p003__Hotmeltgluegun_g3__T03
p003__Hotmeltgluegun_g5__T01,ok,p003,p003/Hotmeltgluegun_g5/T01,135,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g5__T01,subjects/p003/labels/p003__Hotmeltgluegun_g5__T01
p003__Hotmeltgluegun_g5__T02,ok,p003,p003/Hotmeltgluegun_g5/T02,134,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g5__T02,subjects/p003/labels/p003__Hotmeltgluegun_g5__T02
p003__Hotmeltgluegun_g5__T03,ok,p003,p003/Hotmeltgluegun_g5/T03,233,Hotmeltgluegun,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Hotmeltgluegun_g5__T03,subjects/p003/labels/p003__Hotmeltgluegun_g5__T03
p003__plate_g2__T01,ok,p003,p003/plate_g2/T01,171,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g2__T01,subjects/p003/labels/p003__plate_g2__T01
p003__plate_g2__T02,ok,p003,p003/plate_g2/T02,125,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g2__T02,subjects/p003/labels/p003__plate_g2__T02
p003__plate_g2__T03,ok,p003,p003/plate_g2/T03,120,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g2__T03,subjects/p003/labels/p003__plate_g2__T03
p003__plate_g3__T01,ok,p003,p003/plate_g3/T01,180,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g3__T01,subjects/p003/labels/p003__plate_g3__T01
p003__plate_g3__T02,ok,p003,p003/plate_g3/T02,188,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g3__T02,subjects/p003/labels/p003__plate_g3__T02
p003__plate_g3__T03,ok,p003,p003/plate_g3/T03,116,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g3__T03,subjects/p003/labels/p003__plate_g3__T03
p003__plate_g5__T01,ok,p003,p003/plate_g5/T01,130,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g5__T01,subjects/p003/labels/p003__plate_g5__T01
p003__plate_g5__T02,ok,p003,p003/plate_g5/T02,129,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g5__T02,subjects/p003/labels/p003__plate_g5__T02
p003__plate_g5__T03,ok,p003,p003/plate_g5/T03,181,plate,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__plate_g5__T03,subjects/p003/labels/p003__plate_g5__T03
p003__Pliers_g2__T01,ok,p003,p003/Pliers_g2/T01,171,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g2__T01,subjects/p003/labels/p003__Pliers_g2__T01
p003__Pliers_g2__T02,ok,p003,p003/Pliers_g2/T02,145,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g2__T02,subjects/p003/labels/p003__Pliers_g2__T02
p003__Pliers_g2__T03,ok,p003,p003/Pliers_g2/T03,122,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g2__T03,subjects/p003/labels/p003__Pliers_g2__T03
p003__Pliers_g3__T01,ok,p003,p003/Pliers_g3/T01,142,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g3__T01,subjects/p003/labels/p003__Pliers_g3__T01
p003__Pliers_g3__T02,ok,p003,p003/Pliers_g3/T02,122,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g3__T02,subjects/p003/labels/p003__Pliers_g3__T02
p003__Pliers_g3__T03,ok,p003,p003/Pliers_g3/T03,128,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g3__T03,subjects/p003/labels/p003__Pliers_g3__T03
p003__Pliers_g5__T01,ok,p003,p003/Pliers_g5/T01,133,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g5__T01,subjects/p003/labels/p003__Pliers_g5__T01
p003__Pliers_g5__T02,ok,p003,p003/Pliers_g5/T02,129,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g5__T02,subjects/p003/labels/p003__Pliers_g5__T02
p003__Pliers_g5__T03,ok,p003,p003/Pliers_g5/T03,125,Pliers,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Pliers_g5__T03,subjects/p003/labels/p003__Pliers_g5__T03
p003__PottedMeatCan_g2__T01,ok,p003,p003/PottedMeatCan_g2/T01,126,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g2__T01,subjects/p003/labels/p003__PottedMeatCan_g2__T01
p003__PottedMeatCan_g2__T02,ok,p003,p003/PottedMeatCan_g2/T02,130,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g2__T02,subjects/p003/labels/p003__PottedMeatCan_g2__T02
p003__PottedMeatCan_g2__T03,ok,p003,p003/PottedMeatCan_g2/T03,130,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g2__T03,subjects/p003/labels/p003__PottedMeatCan_g2__T03
p003__PottedMeatCan_g3__T01,ok,p003,p003/PottedMeatCan_g3/T01,173,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g3__T01,subjects/p003/labels/p003__PottedMeatCan_g3__T01
p003__PottedMeatCan_g3__T02,ok,p003,p003/PottedMeatCan_g3/T02,127,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g3__T02,subjects/p003/labels/p003__PottedMeatCan_g3__T02
p003__PottedMeatCan_g3__T03,ok,p003,p003/PottedMeatCan_g3/T03,131,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g3__T03,subjects/p003/labels/p003__PottedMeatCan_g3__T03
p003__PottedMeatCan_g5__T01,ok,p003,p003/PottedMeatCan_g5/T01,138,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g5__T01,subjects/p003/labels/p003__PottedMeatCan_g5__T01
p003__PottedMeatCan_g5__T02,ok,p003,p003/PottedMeatCan_g5/T02,119,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g5__T02,subjects/p003/labels/p003__PottedMeatCan_g5__T02
p003__PottedMeatCan_g5__T03,ok,p003,p003/PottedMeatCan_g5/T03,124,PottedMeatCan,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__PottedMeatCan_g5__T03,subjects/p003/labels/p003__PottedMeatCan_g5__T03
p003__RectangularBox_g2__T01,ok,p003,p003/RectangularBox_g2/T01,138,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g2__T01,subjects/p003/labels/p003__RectangularBox_g2__T01
p003__RectangularBox_g2__T02,ok,p003,p003/RectangularBox_g2/T02,116,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g2__T02,subjects/p003/labels/p003__RectangularBox_g2__T02
p003__RectangularBox_g2__T03,ok,p003,p003/RectangularBox_g2/T03,131,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g2__T03,subjects/p003/labels/p003__RectangularBox_g2__T03
p003__RectangularBox_g3__T01,ok,p003,p003/RectangularBox_g3/T01,142,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g3__T01,subjects/p003/labels/p003__RectangularBox_g3__T01
p003__RectangularBox_g3__T02,ok,p003,p003/RectangularBox_g3/T02,125,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g3__T02,subjects/p003/labels/p003__RectangularBox_g3__T02
p003__RectangularBox_g3__T03,ok,p003,p003/RectangularBox_g3/T03,133,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g3__T03,subjects/p003/labels/p003__RectangularBox_g3__T03
p003__RectangularBox_g5__T01,ok,p003,p003/RectangularBox_g5/T01,134,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g5__T01,subjects/p003/labels/p003__RectangularBox_g5__T01
p003__RectangularBox_g5__T02,ok,p003,p003/RectangularBox_g5/T02,117,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g5__T02,subjects/p003/labels/p003__RectangularBox_g5__T02
p003__RectangularBox_g5__T03,ok,p003,p003/RectangularBox_g5/T03,137,RectangularBox,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__RectangularBox_g5__T03,subjects/p003/labels/p003__RectangularBox_g5__T03
p003__ShortCylinder_g2__T01,ok,p003,p003/ShortCylinder_g2/T01,128,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g2__T01,subjects/p003/labels/p003__ShortCylinder_g2__T01
p003__ShortCylinder_g2__T02,ok,p003,p003/ShortCylinder_g2/T02,131,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g2__T02,subjects/p003/labels/p003__ShortCylinder_g2__T02
p003__ShortCylinder_g2__T03,ok,p003,p003/ShortCylinder_g2/T03,123,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g2__T03,subjects/p003/labels/p003__ShortCylinder_g2__T03
p003__ShortCylinder_g3__T01,ok,p003,p003/ShortCylinder_g3/T01,123,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g3__T01,subjects/p003/labels/p003__ShortCylinder_g3__T01
p003__ShortCylinder_g3__T02,ok,p003,p003/ShortCylinder_g3/T02,125,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g3__T02,subjects/p003/labels/p003__ShortCylinder_g3__T02
p003__ShortCylinder_g3__T03,ok,p003,p003/ShortCylinder_g3/T03,127,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g3__T03,subjects/p003/labels/p003__ShortCylinder_g3__T03
p003__ShortCylinder_g5__T01,ok,p003,p003/ShortCylinder_g5/T01,137,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g5__T01,subjects/p003/labels/p003__ShortCylinder_g5__T01
p003__ShortCylinder_g5__T02,ok,p003,p003/ShortCylinder_g5/T02,119,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g5__T02,subjects/p003/labels/p003__ShortCylinder_g5__T02
p003__ShortCylinder_g5__T03,ok,p003,p003/ShortCylinder_g5/T03,119,ShortCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__ShortCylinder_g5__T03,subjects/p003/labels/p003__ShortCylinder_g5__T03
p003__Spoon_g2__T01,ok,p003,p003/Spoon_g2/T01,135,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g2__T01,subjects/p003/labels/p003__Spoon_g2__T01
p003__Spoon_g2__T02,ok,p003,p003/Spoon_g2/T02,117,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g2__T02,subjects/p003/labels/p003__Spoon_g2__T02
p003__Spoon_g2__T03,ok,p003,p003/Spoon_g2/T03,193,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g2__T03,subjects/p003/labels/p003__Spoon_g2__T03
p003__Spoon_g3__T01,ok,p003,p003/Spoon_g3/T01,122,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g3__T01,subjects/p003/labels/p003__Spoon_g3__T01
p003__Spoon_g3__T02,ok,p003,p003/Spoon_g3/T02,141,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g3__T02,subjects/p003/labels/p003__Spoon_g3__T02
p003__Spoon_g3__T03,ok,p003,p003/Spoon_g3/T03,115,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g3__T03,subjects/p003/labels/p003__Spoon_g3__T03
p003__Spoon_g5__T01,ok,p003,p003/Spoon_g5/T01,167,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g5__T01,subjects/p003/labels/p003__Spoon_g5__T01
p003__Spoon_g5__T02,ok,p003,p003/Spoon_g5/T02,115,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g5__T02,subjects/p003/labels/p003__Spoon_g5__T02
p003__Spoon_g5__T03,ok,p003,p003/Spoon_g5/T03,148,Spoon,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Spoon_g5__T03,subjects/p003/labels/p003__Spoon_g5__T03
p003__Stapler_g2__T01,ok,p003,p003/Stapler_g2/T01,185,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g2__T01,subjects/p003/labels/p003__Stapler_g2__T01
p003__Stapler_g2__T02,ok,p003,p003/Stapler_g2/T02,126,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g2__T02,subjects/p003/labels/p003__Stapler_g2__T02
p003__Stapler_g2__T03,ok,p003,p003/Stapler_g2/T03,165,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g2__T03,subjects/p003/labels/p003__Stapler_g2__T03
p003__Stapler_g3__T01,ok,p003,p003/Stapler_g3/T01,169,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g3__T01,subjects/p003/labels/p003__Stapler_g3__T01
p003__Stapler_g3__T02,ok,p003,p003/Stapler_g3/T02,133,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g3__T02,subjects/p003/labels/p003__Stapler_g3__T02
p003__Stapler_g3__T03,ok,p003,p003/Stapler_g3/T03,136,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g3__T03,subjects/p003/labels/p003__Stapler_g3__T03
p003__Stapler_g5__T01,ok,p003,p003/Stapler_g5/T01,143,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g5__T01,subjects/p003/labels/p003__Stapler_g5__T01
p003__Stapler_g5__T02,ok,p003,p003/Stapler_g5/T02,123,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g5__T02,subjects/p003/labels/p003__Stapler_g5__T02
p003__Stapler_g5__T03,ok,p003,p003/Stapler_g5/T03,138,Stapler,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__Stapler_g5__T03,subjects/p003/labels/p003__Stapler_g5__T03
p003__TallCylinder_g2__T01,ok,p003,p003/TallCylinder_g2/T01,142,TallCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__TallCylinder_g2__T01,subjects/p003/labels/p003__TallCylinder_g2__T01
p003__TallCylinder_g2__T02,ok,p003,p003/TallCylinder_g2/T02,109,TallCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__TallCylinder_g2__T02,subjects/p003/labels/p003__TallCylinder_g2__T02
p003__TallCylinder_g2__T03,ok,p003,p003/TallCylinder_g2/T03,111,TallCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__TallCylinder_g2__T03,subjects/p003/labels/p003__TallCylinder_g2__T03
p003__TallCylinder_g3__T01,ok,p003,p003/TallCylinder_g3/T01,127,TallCylinder,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p003/sensor_data/p003__TallCylinder_g3__T01,subjects/p003/labels/p003__TallCylinder_g3__T01
